Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
London and South East,Season,2024,209.13192601683184,4.907522903991631,109.13192601683184
London and South East,Season,2025,218.8992257703904,4.6704010906361715,118.89922577039039
London and South East,Super Off Peak,2004,100,NA,0
London and South East,Super Off Peak,2005,101.304686396527,1.3046863965270035,1.3046863965270035
London and South East,Super Off Peak,2006,103.136767365411,1.8084858993717874,3.1367673654110035
London and South East,Super Off Peak,2007,106.414393080757,3.1779410961499734,6.414393080756994
London and South East,Super Off Peak,2008,115.808873257064,8.828204441458972,15.808873257063993
London and South East,Super Off Peak,2009,126.18455327632,8.959313502882322,26.184553276320003
London and South East,Super Off Peak,2010,126.678448190382,0.3914067936512495,26.678448190382
London and South East,Super Off Peak,2011,132.950738590348,4.951347675604248,32.95073859034801
London and South East,Super Off Peak,2012,140.743924195261,5.8617091469687885,40.743924195261
London and South East,Super Off Peak,2013,147.273236412468,4.639143220242012,47.27323641246801
London and South East,Super Off Peak,2014,152.384706137824,3.470739049313957,52.384706137824
London and South East,Super Off Peak,2015,155.155049789469,1.8179932368930525,55.15504978946899
London and South East,Super Off Peak,2016,156.280352996145,0.7252765592888886,56.28035299614501
London and South East,Super Off Peak,2017,158.966613870352,1.718873052630778,58.966613870352006
London and South East,Super Off Peak,2018,165.755619261788,4.270711457043992,65.75561926178801
London and South East,Super Off Peak,2019,170.717406297863,2.9934351898130984,70.717406297863
London and South East,Super Off Peak,2020,176.620589099811,3.457868140081926,76.62058909981101
London and South East,Super Off Peak,2021,181.448193071114,2.733318915936139,81.44819307111399
London and South East,Super Off Peak,2022,188.278411128664,3.764280008494261,88.278411128664
London and South East,Super Off Peak,2023,199.50955339368713,5.965177949875563,99.50955339368713
London and South East,Super Off Peak,2024,211.81043758555532,6.165561489476732,111.81043758555532
London and South East,Super Off Peak,2025,226.37556023773143,6.876489571621282,126.37556023773143
Long distance,Advance,2004,100,NA,0
Long distance,Advance,2005,104.554811629397,4.554811629396994,4.554811629396994
Long distance,Advance,2006,110.8297584607,6.001585898834642,10.829758460700006
Long distance,Advance,2007,122.576439853642,10.59885138801177,22.576439853642
Long distance,Advance,2008,131.819327216869,7.540508905514906,31.819327216869
Long distance,Advance,2009,143.826515398189,9.108822230268094,43.826515398189
Long distance,Advance,2010,141.495793655895,-1.6205090805692637,41.495793655895
Long distance,Advance,2011,147.901480637851,4.527121843306556,47.901480637850995
Long distance,Advance,2012,156.343417268133,5.70781076286369,56.34341726813301
Long distance,Advance,2013,162.978820907952,4.244120894734643,62.97882090795201
